cName,dCity,FTLA,LTLA,FTLRate,LTLRate,reefCharge
Planet Express,Windsor,50,640,5.21,0.3621,0.08
,Hamilton,50,640,5.21,0.3621,0.08
,Oshawa,50,640,5.21,0.3621,0.08
,Belleville,50,640,5.21,0.3621,0.08
,Ottawa,50,640,5.21,0.3621,0.08
Schooner's,London,18,98,5.05,0.3434,0.07
,Toronto,18,98,5.05,0.3434,0.07
,Kingston,18,98,5.05,0.3434,0.07
Tillman Transport,Windsor,24,35,5.11,0.3012,0.09
,London,18,45,5.11,0.3012,0.09
,Hamilton,18,45,5.11,0.3012,0.09
We Haul,Ottawa,11,0,5.2,0,0.065
,Toronto,11,0,5.2,0,0.065
